# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
500000 0
501000 0.176767
502000 0.0497345
503000 0.191581
504000 0.0763159
505000 0.052725
506000 0.034921
507000 0.0911418
508000 0.0744154
509000 0.175371
510000 0.0303505
511000 0.19296
512000 0.186212
513000 0.140691
514000 0.0809332
515000 0.107742
516000 0.0219208
517000 0.0104664
518000 0.0573168
519000 0.122229
520000 0.0718726
521000 0.152883
522000 0.148253
523000 0.206108
524000 0.0029764
525000 0.068894
526000 0.118778
527000 0.0244219
528000 0.056669
529000 0.195691
530000 0.0946598
531000 0.163013
532000 0.268236
533000 0.17558
534000 0.0460122
535000 0.105494
536000 0.0722253
537000 0.108191
538000 0.00825521
539000 0.170597
540000 0.0421079
541000 0.0198774
542000 0.0763122
543000 0.0852346
544000 0.10643
545000 0.0281786
546000 0.234033
547000 0.0180845
548000 0.146198
549000 0.164914
550000 0.0412519
551000 0.0619408
552000 0.0430285
553000 0.0648598
554000 0.107337
555000 0.0837433
556000 0.0705179
557000 0.0405757
558000 0.101447
559000 0.0182174
560000 0.043789
561000 0.0746076
562000 0.151591
563000 0.0232873
564000 0.0433333
565000 0.0530604
566000 0.0792175
567000 0.0250665
568000 0.0176706
569000 0.11482
570000 0.0378289
571000 0.0637105
572000 0.0674622
573000 0.0561737
574000 0.0628866
575000 0.136552
576000 0.0208545
577000 0.0744924
578000 0.0575818
579000 0.0346953
580000 0.134493
581000 0.00327906
582000 0.0860598
583000 0.0540384
584000 0.0872057
585000 0.052722
586000 0.0171284
587000 0.0901721
588000 0.0459563
589000 0.147089
590000 0.0575374
591000 0.0617486
592000 0.0707937
593000 0.185456
594000 0.0712877
595000 0.127735
596000 0.0474778
597000 0.0387413
598000 0.121855
599000 0.0417643
600000 0.0779547
601000 0.0267106
602000 0.09121
603000 0.0325838
604000 0.151203
605000 0.141786
606000 0.15974
607000 0.169576
608000 0.0689844
609000 0.100441
610000 0.020691
611000 0.100622
612000 0.0353868
613000 0.0414276
614000 0.114967
615000 0.0254576
616000 0.132986
617000 0.104602
618000 0.0327799
619000 0.1312
620000 0.227519
621000 0.0895761
622000 0.0203723
623000 0.00896523
624000 0.0469227
625000 0.134744
626000 0.113576
627000 0.116316
628000 0.0910962
629000 0.12541
630000 0.103869
631000 0.0321383
632000 0.132298
633000 0.0928562
634000 0.104378
635000 0.0672733
636000 0.023656
637000 0.136117
638000 0.0954686
639000 0.182163
640000 0.0285319
641000 0.129865
642000 0.106467
643000 0.0130574
644000 0.0633185
645000 0.137733
646000 0.178859
647000 0.152868
648000 0.104249
649000 0.0867734
650000 0.00944784
651000 0.0558515
652000 0.0523207
653000 0.118769
654000 0.0814537
655000 0.0488305
656000 0.100072
657000 0.114761
658000 0.0280856
659000 0.0203437
660000 0.0485114
661000 0.0545426
662000 0.00687213
663000 0.00979441
664000 0.115906
665000 0.0193734
666000 0.079326
667000 0.0266911
668000 0.132178
669000 0.0792935
670000 0.0755571
671000 0.0397757
672000 0.0327313
673000 0.137655
674000 0.0300031
675000 0.0240658
676000 0.0585618
677000 0.0423721
678000 0.0481897
679000 0.107469
680000 0.074754
681000 0.168122
682000 0.0756442
683000 0.20202
684000 0.0587948
685000 0.0410138
686000 0.143795
687000 0.0859065
688000 0.0472859
689000 0.0607325
690000 0.0469663
691000 0.00669529
692000 0.196389
693000 0.106839
694000 0.136717
695000 0.108054
696000 0.0997584
697000 0.0350399
698000 0.105638
699000 0.0323205
700000 0.0613712
701000 0.0922698
702000 0.0235073
703000 0.0199595
704000 0.0948888
705000 0.0871391
706000 0.0753987
707000 0.118429
708000 0.0282262
709000 0.0702392
710000 0.154348
711000 0.0616778
712000 0.0768292
713000 0.0948444
714000 0.0983448
715000 0.063183
716000 0.0143825
717000 0.0615914
718000 0.128169
719000 0.0200453
720000 0.0313144
721000 0.0130515
722000 0.0519973
723000 0.136334
724000 0.104648
725000 0.0390551
726000 0.179274
727000 0.0160529
728000 0.0892577
729000 0.108441
730000 0.0959003
731000 0.0207677
732000 0.0565482
733000 0.086435
734000 0.0164961
735000 0.0607688
736000 0.0259829
737000 0.0454489
738000 0.0386938
739000 0.0187536
740000 0.0363874
741000 0.117486
742000 0.0334347
743000 0.0512685
744000 0.0204586
745000 0.0605277
746000 0.0845741
747000 0.0735042
748000 0.129028
749000 0.0876335
750000 0.0751441
751000 0.0649177
752000 0.0380521
753000 0.036812
754000 0.0751249
755000 0.163874
756000 0.124028
757000 0.0806788
758000 0.183489
759000 0.0239582
760000 0.0435796
761000 0.106193
762000 0.050331
763000 0.0618886
764000 0.0289524
765000 0.0588251
766000 0.00544526
767000 0.105034
